COMPETENCY 1;COMPETENCY 2;ASSOCIATION RULE
LOCALTEST 31;LOCALTEST 27;OK
LOCALTEST 31;LOCALTEST 28;OK
LOCALTEST 31;LOCALTEST 29;OK
LOCALTEST 31;LOCALTEST 30;OK
LOCALTEST 31;LOCALTEST 31;OK
LOCALTEST 32;LOCALTEST 1;FORBIDDEN
LOCALTEST 32;LOCALTEST 2;FORBIDDEN
LOCALTEST 32;LOCALTEST 3;FORBIDDEN
LOCALTEST 32;LOCALTEST 4;FORBIDDEN
LOCALTEST 32;LOCALTEST 5;FORBIDDEN
LOCALTEST 32;LOCALTEST 6;FORBIDDEN
LOCALTEST 32;LOCALTEST 7;FORBIDDEN
LOCALTEST 32;LOCALTEST 8;FORBIDDEN
LOCALTEST 32;LOCALTEST 9;FORBIDDEN
LOCALTEST 32;LOCALTEST 10;FORBIDDEN
LOCALTEST 32;LOCALTEST 11;FORBIDDEN
LOCALTEST 32;LOCALTEST 12;FORBIDDEN
LOCALTEST 32;LOCALTEST 13;FORBIDDEN
LOCALTEST 32;LOCALTEST 14;FORBIDDEN
LOCALTEST 32;LOCALTEST 15;FORBIDDEN
LOCALTEST 32;LOCALTEST 16;FORBIDDEN
LOCALTEST 32;LOCALTEST 17;FORBIDDEN
LOCALTEST 32;LOCALTEST 18;FORBIDDEN
LOCALTEST 32;LOCALTEST 19;FORBIDDEN
LOCALTEST 32;LOCALTEST 20;FORBIDDEN
LOCALTEST 32;LOCALTEST 21;FORBIDDEN
LOCALTEST 32;LOCALTEST 22;FORBIDDEN
LOCALTEST 32;LOCALTEST 23;FORBIDDEN
LOCALTEST 32;LOCALTEST 24;FORBIDDEN
LOCALTEST 32;LOCALTEST 25;FORBIDDEN
LOCALTEST 32;LOCALTEST 26;FORBIDDEN
LOCALTEST 32;LOCALTEST 27;FORBIDDEN
LOCALTEST 32;LOCALTEST 28;FORBIDDEN
LOCALTEST 32;LOCALTEST 29;OK
LOCALTEST 32;LOCALTEST 30;OK
LOCALTEST 32;LOCALTEST 31;OK
LOCALTEST 32;LOCALTEST 32;OK
LOCALTEST 33;LOCALTEST 1;OK
LOCALTEST 33;LOCALTEST 2;OK
LOCALTEST 33;LOCALTEST 3;FORBIDDEN
LOCALTEST 33;LOCALTEST 4;BAD
LOCALTEST 33;LOCALTEST 5;FORBIDDEN
LOCALTEST 33;LOCALTEST 6;OK
LOCALTEST 33;LOCALTEST 7;OK
LOCALTEST 33;LOCALTEST 8;OK
LOCALTEST 33;LOCALTEST 9;FORBIDDEN
LOCALTEST 33;LOCALTEST 10;OK
LOCALTEST 33;LOCALTEST 11;FORBIDDEN
LOCALTEST 33;LOCALTEST 12;OK
LOCALTEST 33;LOCALTEST 13;FORBIDDEN
LOCALTEST 33;LOCALTEST 14;FORBIDDEN
LOCALTEST 33;LOCALTEST 15;FORBIDDEN
LOCALTEST 33;LOCALTEST 16;FORBIDDEN
LOCALTEST 33;LOCALTEST 17;FORBIDDEN
LOCALTEST 33;LOCALTEST 18;FORBIDDEN
LOCALTEST 33;LOCALTEST 19;FORBIDDEN
LOCALTEST 33;LOCALTEST 20;FORBIDDEN
LOCALTEST 33;LOCALTEST 21;FORBIDDEN
