ST_MONTH;AREA;COMPETENCY;HOURLY WORKLOAD
M2018_06;AREA 10;LOCALTEST 67;0
M2018_06;AREA 10;LOCALTEST 68;793.47
M2018_06;AREA 10;LOCALTEST 69;1123.02
M2018_06;AREA 10;LOCALTEST 70;868.73
M2018_06;AREA 10;LOCALTEST 71;1.17
M2018_06;AREA 10;LOCALTEST 72;554.05
M2018_06;AREA 10;LOCALTEST 73;62.2
M2018_06;AREA 10;LOCALTEST 74;70.84
M2018_06;AREA 14;LOCALTEST 75;260.1
M2018_06;AREA 14;LOCALTEST 76;99.88
M2018_06;AREA 14;LOCALTEST 77;4.33
M2018_06;AREA 14;LOCALTEST 78;34.41
M2018_06;AREA 14;LOCALTEST 79;10.32
M2018_06;AREA 14;LOCALTEST 80;28.8
M2018_06;AREA 14;LOCALTEST 81;8.05
M2018_06;AREA 14;LOCALTEST 82;2
M2018_06;AREA 14;LOCALTEST 83;0
M2018_06;AREA 14;LOCALTEST 84;2.9
M2018_06;AREA 14;LOCALTEST 85;13.95
M2018_06;AREA 14;LOCALTEST 86;12.06
M2018_06;AREA 14;LOCALTEST 87;18.42
M2018_06;AREA 15;LOCALTEST 88;457.99
M2018_06;AREA 15;LOCALTEST 89;330.51
M2018_06;AREA 15;LOCALTEST 90;12.4
M2018_06;AREA 15;LOCALTEST 91;11.52
M2018_06;AREA 15;LOCALTEST 92;17.5
M2018_06;AREA 15;LOCALTEST 93;29.7
M2018_06;AREA 15;LOCALTEST 94;3.18
M2018_06;AREA 15;LOCALTEST 95;7.9
M2018_06;AREA 15;LOCALTEST 96;96.67
M2018_06;AREA 7;LOCALTEST 97;846.3
M2018_06;AREA 7;LOCALTEST 98;0
M2018_06;AREA 7;LOCALTEST 99;0
M2018_06;AREA 16;LOCALTEST 100;164.21
M2018_06;AREA 16;LOCALTEST 101;729.19
M2018_06;AREA 16;LOCALTEST 102;103.35
M2018_06;AREA 16;LOCALTEST 103;137.33
M2018_06;AREA 16;LOCALTEST 104;60.38
M2018_06;AREA 16;LOCALTEST 105;0
M2018_06;AREA 16;LOCALTEST 106;39.32
M2018_06;AREA 16;LOCALTEST 107;0.51
M2018_06;AREA 1;LOCALTEST 108;551.64
M2018_06;AREA 1;LOCALTEST 109;592.22
M2018_06;AREA 1;LOCALTEST 110;299.15
M2018_06;AREA 1;LOCALTEST 111;294.88
M2018_06;AREA 1;LOCALTEST 112;179.75
M2018_06;AREA 1;LOCALTEST 113;182.23
M2018_06;AREA 1;LOCALTEST 114;100.7
M2018_06;AREA 1;LOCALTEST 115;106.25
M2018_06;AREA 1;LOCALTEST 116;53.35
M2018_06;AREA 1;LOCALTEST 117;0.83
M2018_06;AREA 1;LOCALTEST 118;0
M2018_06;AREA 6;LOCALTEST 119;861.83
M2018_06;AREA 6;LOCALTEST 120;900.71
M2018_06;AREA 6;LOCALTEST 121;979.08
M2018_06;AREA 6;LOCALTEST 122;406.9
M2018_06;AREA 6;LOCALTEST 123;370.78
M2018_06;AREA 6;LOCALTEST 124;300.04
M2018_06;AREA 6;LOCALTEST 125;327.41
M2018_06;AREA 6;LOCALTEST 126;336.06
M2018_06;AREA 6;LOCALTEST 127;150.2
M2018_06;AREA 6;LOCALTEST 128;188.2
M2018_06;AREA 6;LOCALTEST 129;139.95
M2018_06;AREA 6;LOCALTEST 130;130.2
M2018_06;AREA 6;LOCALTEST 131;0
M2018_06;AREA 6;LOCALTEST 132;27.55
M2018_06;AREA 6;LOCALTEST 133;484.2
M2018_06;AREA 6;LOCALTEST 134;4.25
M2018_06;AREA 6;LOCALTEST 135;13.5
M2018_06;AREA 11;LOCALTEST 136;1148.38
M2018_06;AREA 11;LOCALTEST 137;503.91
M2018_06;AREA 11;LOCALTEST 138;244.4
M2018_06;AREA 11;LOCALTEST 139;169.15
M2018_06;AREA 11;LOCALTEST 140;40.96
M2018_06;AREA 11;LOCALTEST 141;0
M2018_06;AREA 11;LOCALTEST 142;62.82
M2018_06;AREA 11;LOCALTEST 143;229.1
M2018_06;AREA 11;LOCALTEST 144;0.75
M2018_06;AREA 11;LOCALTEST 145;2.65
M2018_06;AREA 11;LOCALTEST 146;0
M2018_06;AREA 17;LOCALTEST 147;273.98
M2018_06;AREA 17;LOCALTEST 148;530.78
M2018_06;AREA 17;LOCALTEST 149;16.1
M2018_06;AREA 17;LOCALTEST 150;0
M2018_06;AREA 17;LOCALTEST 151;0
M2018_06;AREA 18;LOCALTEST 152;162.2
M2018_06;AREA 18;LOCALTEST 153;0
M2018_06;AREA 18;LOCALTEST 154;208.75
M2018_06;AREA 18;LOCALTEST 155;338.8
M2018_06;AREA 18;LOCALTEST 156;0
M2018_06;AREA 19;LOCALTEST 157;5.37
M2018_06;AREA 19;LOCALTEST 158;454.48
